Nome,CPF,Tipo de Contrato,Status,Valor,Data
Maysa Correia,354.102.876-90,Estágio,Cancelado,14706.63,2022-12-06
João Ferreira,546.098.123-98,Freelancer,Cancelado,12321.07,2022-07-30
Theo Cavalcanti,801.467.539-84,CLT,Cancelado,18040.34,2024-04-23
Davi Cavalcanti,792.481.653-46,PJ,Cancelado,1365.54,2023-04-01
Dra. Juliana da Luz,796.514.208-20,Estágio,Ativo,10638.45,2024-01-10
Yuri das Neves,675.029.483-92,PJ,Cancelado,8910.3,2022-12-06
Breno das Neves,610.493.758-66,Freelancer,Inadimplente,6621.36,2023-06-04
Nicolas Ferreira,510.397.268-95,CLT,Inadimplente,18050.91,2022-12-26
Valentina da Rocha,980.472.135-04,Freelancer,Inadimplente,8463.66,2025-06-01
João Lucas Sales,206.194.758-11,Estágio,Inadimplente,6265.28,2022-08-25
Marcos Vinicius Lima,768.340.915-48,PJ,Ativo,8698.7,2024-12-06
Maria Clara Vieira,902.817.456-76,Estágio,Inadimplente,15088.62,2024-09-11
Isadora Alves,517.623.0,PJ,Inadimplente,11597.55,2024-03-28
Vinicius Oliveira,945.610.372-25,Estágio,Inadimplente,16757.64,2024-05-24
Luiz Fernando Cardoso,286.415.307-62,Freelancer,Cancelado,4598.56,2024-06-05
Rafael Aragão,837.154.206-26,Freelancer,Cancelado,9114.83,2022-10-13
Júlia Nogueira,512.870.643-53,PJ,Inadimplente,9727.13,2024-11-26
Luiz Otávio Nogueira,716.209.438-40,PJ,Inadimplente,2153.51,2022-07-15
Renan Castro,598.261.073-95,Freelancer,Ativo,16459.26,2023-12-26
Valentina Alves,096.514.872-67,PJ,Inadimplente,6553.18,2024-02-26
Dra. Amanda Monteiro,839.645.207-56,PJ,Ativo,976.3,2024-02-13
Sofia Vieira,274.038.695-83,PJ,Cancelado,12419.84,2024-12-17
Sra. Fernanda Cardoso,129.605.374-16,CLT,Cancelado,8581.6,2024-02-23
Sr. Thiago Carvalho,706.219.853-68,PJ,Inadimplente,14078.91,2024-02-14
Larissa Farias,390.165.284-15,Estágio,Cancelado,5257.7,2022-11-01
Leandro Santos,765.824.1,CLT,Ativo,15679.2,2025-04-30
Enrico Barbosa,496.513.270-06,PJ,Ativo,16180.14,2023-02-07
Alexandre Gomes,316.795.842-19,Estágio,Ativo,11369.41,2023-11-04
Davi Lucca Moreira,079.432.586-65,CLT,Cancelado,3100.11,2024-09-03
Eduardo Cardoso,201.643.875-44,Estágio,Inadimplente,10857.07,2025-02-13
Antônio Cardoso,016.975.243-70,Freelancer,Cancelado,12446.72,2024-08-03
Matheus Novaes,421.685.073-17,Estágio,Inadimplente,9195.32,2023-05-10
João Barros,417.928.530-41,PJ,Inadimplente,17299.15,2023-06-04
Emilly Almeida,682.047.195-58,Estágio,Cancelado,15159.65,2022-09-04
Sra. Julia da Costa,054.129.873-97,Freelancer,Inadimplente,9949.64,2023-12-10
Valentina Fogaça,270.548.631-35,PJ,Cancelado,9077.52,2024-07-22
Ian Lima,536.201.849-33,Freelancer,Ativo,5798.44,2023-10-21
João Miguel da Mata,379.146.208-31,Freelancer,Inadimplente,2071.26,2025-03-07
Paulo Campos,849.710.652-02,PJ,Ativo,7969.19,2024-02-06
Dr. Luiz Felipe Ribeiro,357.914.682-37,PJ,Inadimplente,4672.08,2025-04-13
Ana Beatriz Rodrigues,831.576.490-00,Estágio,Cancelado,6952.19,2023-12-04
Srta. Emilly Novaes,452.613.807-07,Estágio,Cancelado,1714.18,2022-06-30
Isaac Silveira,405.291.736-70,Estágio,Cancelado,18144.35,2025-04-08
Vitor Gabriel Moreira,328.045.916-89,CLT,Inadimplente,7917.43,2025-02-28
Pedro Miguel Araújo,239.870.416-50,CLT,Cancelado,6322.95,2022-09-16
Gabrielly Nascimento,426.159.037-99,Estágio,Cancelado,10995.3,2024-08-11
Caio Porto,295.136.748-19,PJ,Cancelado,4778.72,2023-02-01
Dra. Alexia Jesus,124.763.890-13,Estágio,Cancelado,1065.98,2023-01-02
Dr. Yuri das Neves,780.261.954-85,Freelancer,Inadimplente,13743.27,2022-10-30
Lara Fernandes,537.046.829-00,Estágio,Inadimplente,3718.37,2025-03-20
Isadora Pereira,438.679.120-50,Estágio,Ativo,19624.08,2022-10-18
Noah Viana,268.049.317-69,CLT,Cancelado,12041.91,2023-06-29
Srta. Joana Porto,928.750.413-04,CLT,Ativo,13033.62,2025-03-25
Yasmin da Rocha,298.,PJ,Cancelado,4043.72,2025-01-16
Bernardo Campos,539.726.804-65,Freelancer,Cancelado,6883.38,2022-11-10
Marcela Castro,982.017.,Estágio,Cancelado,7081.26,2022-08-11
Clarice da Mota,825.407.691-01,Estágio,Cancelado,15164.19,2025-01-12
Luigi Mendes,503.481.976-75,Estágio,Cancelado,16780.76,2023-06-11
Dra. Alice da Conceição,645.329.807-47,Estágio,Ativo,15105.97,2024-08-06
Cauê Aragão,536.812.940-89,CLT,Cancelado,4872.33,2023-03-23
Kaique Caldeira,785.920.631-59,CLT,Inadimplente,1285.03,2024-08-08
Pietro Sales,763.492.105-06,CLT,Ativo,4387.53,2025-03-16
Ana Lívia Rezende,028.371.649-50,CLT,Inadimplente,3471.46,2024-05-26
Nicolas Novaes,870.346.591-84,PJ,Cancelado,13554.45,2025-05-10
Otávio Cavalcanti,245.831.697-28,PJ,Cancelado,14139.57,2023-06-15
Fernanda Azevedo,235.987.061-03,Freelancer,Ativo,12314.91,2024-08-08
Ana Gonçalves,874.235.910-41,CLT,Ativo,19312.06,2025-05-07
Srta. Nicole Azevedo,508.476.921-67,CLT,Inadimplente,1000.73,2023-07-19
Maria Fernanda Cavalcanti,243.798.516-64,Freelancer,Inadimplente,13708.27,2022-08-01
Henrique Barbosa,579.380.614-84,Estágio,Cancelado,18858.68,2024-08-18
Alexia Farias,918.503.624-24,PJ,Ativo,12045.91,2024-02-05
Bianca Cunha,134.596.802-70,PJ,Ativo,14095.26,2024-04-14
Clarice Almeida,280.196.534-06,Freelancer,Inadimplente,12208.03,2022-11-20
Dr. Kaique Moura,701.289.645-02,CLT,Inadimplente,15761.39,2025-01-24
Lara Farias,342.857.069-38,Freelancer,Inadimplente,8853.37,2023-10-05
João Silva,536.148.072-07,Freelancer,Ativo,10366.24,2024-11-16
Dra. Laís Moraes,279.451.306-07,Freelancer,Ativo,17066.72,2022-10-29
Gabrielly Azevedo,274.,Estágio,Ativo,8953.71,2024-08-16
Carolina Carvalho,460.295.183-05,Freelancer,Inadimplente,17885.71,2023-07-26
Giovanna Campos,357.809.621-03,Estágio,Inadimplente,3483.33,2025-04-04
Igor Rocha,739.064.812-04,PJ,Inadimplente,10674.06,2023-03-08
Sarah Barros,830.964.275-00,Freelancer,Inadimplente,16259.88,2023-03-13
Vinicius Costela,247.318.596-46,Estágio,Cancelado,8993.7,2024-10-16
Davi Lucas Duarte,234.691.780-03,Freelancer,Cancelado,17108.41,2024-08-01
Evelyn Mendes,986.035.741-20,CLT,Cancelado,17691.81,2022-11-02
Levi Duarte,801.694.532-51,PJ,Cancelado,11612.07,2024-12-21
Dr. João Lucas Freitas,735.406.281-26,Estágio,Cancelado,1059.65,2023-10-08
Renan Correia,291.578.340-32,Freelancer,Ativo,10007.22,2023-04-28
Dra. Maria Sophia Rocha,861.072.594-49,Freelancer,Cancelado,7136.61,2024-03-10
Lucas Azevedo,504.286.391-51,Freelancer,Inadimplente,697.95,2022-12-15
Yasmin Gonçalves,278.963.510-21,PJ,Ativo,5206.44,2022-11-09
Sr. Enrico Dias,278.915.40,Estágio,Cancelado,11325.94,2025-02-13
Emanuella Farias,476.920.358-65,PJ,Inadimplente,9783.82,2023-02-13
Ana Beatriz da Rocha,697.210.534-06,Estágio,Cancelado,15962.19,2024-02-17
Renan Almeida,132.504.69,CLT,Cancelado,4821.13,2024-08-20
Bryan da Mata,943.152.086-98,PJ,Cancelado,13447.22,2024-08-06
Marina Peixoto,029.453.,Freelancer,Cancelado,11292.72,2022-08-11
Cecília Mendes,135.462.908-60,Freelancer,Cancelado,19934.31,2023-08-30
Heitor Pinto,206.198.457-67,Freelancer,Cancelado,14205.67,2023-12-02
Joana da Cruz,025.716.348-44,Freelancer,Cancelado,5402.37,2023-03-08
Isabelly Barros,014.375.689-39,CLT,Inadimplente,4255.39,2024-12-28
Cauã Nunes,602.934.851-51,CLT,Inadimplente,10949.35,2025-01-04
Dr. João Vitor Sales,149.385.627-82,PJ,Ativo,4719.5,2023-03-09
Benjamin Porto,540.837.621-44,Estágio,Cancelado,14629.41,2023-03-21
Fernando Sales,146.053.872-26,Freelancer,Ativo,16736.25,2023-02-08
Davi Lucas Moreira,642.038.597-00,Freelancer,Ativo,7537.18,2024-01-10
Srta. Joana Santos,706.921.435-99,Freelancer,Ativo,14306.36,2024-02-01
Benício Mendes,123.70,PJ,Cancelado,1387.56,2023-03-11
Lucas da Luz,619.302.458-15,CLT,Inadimplente,6196.66,2023-09-24
Marina Castro,407.598.136-39,PJ,Inadimplente,17434.99,2022-06-11
Luigi da Costa,492.086.175-30,Estágio,Ativo,17518.03,2022-09-11
Luiza Novaes,268.403.179-78,Freelancer,Cancelado,9834.93,2023-12-24
Ana Vitória Nunes,156.734.289-28,Freelancer,Ativo,19327.2,2025-01-02
Caroline Fogaça,192.357.064-16,Freelancer,Cancelado,2724.7,2024-12-03
Caroline da Rocha,649.208.137-40,CLT,Cancelado,10089.06,2024-08-16
Laura Jesus,213.754.698-19,CLT,Ativo,3409.35,2025-04-07
Danilo Pinto,324.706.981-03,Freelancer,Ativo,19881.4,2024-02-20
Ana Júlia Monteiro,625.409.831-89,CLT,Inadimplente,15406.65,2024-02-28
Renan Viana,274.580.639-47,PJ,Inadimplente,7917.37,2025-04-05
Theo da Mota,748.693.150-84,Estágio,Cancelado,17273.25,2023-04-25
Milena Porto,832.164.790-13,Estágio,Cancelado,11588.27,2024-06-29
João Guilherme Novaes,457.189.360-48,CLT,Inadimplente,19222.12,2023-10-16
Pedro Henrique Lima,472.158.369-91,CLT,Ativo,12697.54,2024-01-11
Raul da Paz,149.038.625-42,Freelancer,Inadimplente,2083.16,2024-01-03
Lorena Farias,439.801.572-88,PJ,Ativo,11263.85,2023-11-13
Enrico Cunha,085.462.793-65,PJ,Ativo,8466.09,2025-03-19
Miguel da Cunha,617.432.980-13,Estágio,Cancelado,1136.48,2022-06-28
Beatriz Vieira,079.348.615-75,Freelancer,Inadimplente,6013.01,2024-04-01
Luiz Henrique Caldeira,340.519.628-06,Estágio,Ativo,13904.01,2023-05-09
Pietro Peixoto,418.623.795-64,Freelancer,Inadimplente,12000.9,2023-04-25
Benício Lopes,840.912.375-41,PJ,Cancelado,2738.14,2025-01-08
Luna Azevedo,635.241.790-61,PJ,Inadimplente,3405.29,2024-03-05
Luiza da Rosa,831.645.209-05,Freelancer,Ativo,1892.49,2024-11-16
Guilherme Farias,659.387.042-00,PJ,Cancelado,12103.36,2024-04-15
Ana Laura Nogueira,043.762.581-80,Freelancer,Cancelado,2924.9,2022-10-19
Bruno Cardoso,264.179.380-69,Freelancer,Inadimplente,8348.92,2023-12-07
Yuri Alves,129.680.345-70,Freelancer,Inadimplente,11029.64,2024-09-20
Alana Pinto,203.879.516-95,Estágio,Ativo,12161.71,2023-01-23
Erick da Paz,186.925.073-77,Estágio,Inadimplente,6785.27,2023-10-16
Fernanda Pinto,968.542.731-37,Freelancer,Ativo,2280.87,2024-10-09
Ana Lívia da Mota,726.105.9,CLT,Inadimplente,16517.71,2023-12-26
Enzo Correia,215.607.943-99,CLT,Ativo,9674.77,2022-08-30
Agatha Oliveira,857.124.036-17,Estágio,Cancelado,4039.04,2022-11-10
Erick Nunes,375.682.910-30,Estágio,Inadimplente,16377.78,2023-12-31
Maria Eduarda Monteiro,163.824.759-55,CLT,Cancelado,7285.24,2023-06-08
Sra. Vitória Novaes,185.409.276-67,Freelancer,Cancelado,13567.6,2024-01-29
Miguel Cardoso,237.451.680-62,PJ,Cancelado,8527.08,2023-07-08
Marcela Rocha,731.846.590-20,Estágio,Cancelado,13420.38,2025-04-16
Maria Cunha,291.075.384-05,Estágio,Inadimplente,1215.59,2024-07-31
Sr. Paulo Nascimento,479.302.618-40,CLT,Cancelado,5421.78,2022-10-25
Davi Lucca Nascimento,645.231.078-07,CLT,Cancelado,17365.76,2023-06-01
Matheus Silva,326.904.581-60,CLT,Inadimplente,17452.67,2023-08-13
Marcelo da Cunha,168.274.053-62,Estágio,Cancelado,1556.98,2023-07-09
Eloah da Mata,957.862.410-76,Freelancer,Inadimplente,15250.64,2023-11-15
Dra. Luiza Ramos,753.821.406-26,Estágio,Ativo,4469.39,2022-11-01
Dra. Melissa Pereira,428.561.370-08,PJ,Cancelado,9043.26,2024-01-07
Srta. Raquel Gonçalves,489.251.367-91,Estágio,Ativo,1062.95,2023-08-16
Lavínia Aragão,653.872.091-95,PJ,Inadimplente,3588.37,2023-11-25
Vitor Gabriel Cunha,073.526.481-35,CLT,Inadimplente,8455.82,2023-06-28
Sra. Milena Costela,798.250.,PJ,Ativo,9498.23,2024-09-27
Caio Campos,623.450.719-07,CLT,Inadimplente,16726.79,2024-06-21
Ana Carolina Costela,930.624.718-40,Estágio,Inadimplente,6191.3,2024-01-18
Bruno Peixoto,985.074.231-32,Freelancer,Cancelado,16777.12,2022-09-12
Maria Fernanda Monteiro,059.478.263-56,Estágio,Ativo,9407.34,2023-01-10
Daniel Moura,608.413.275-80,PJ,Cancelado,4216.9,2024-07-05
Raquel da Mata,782.469.351-19,PJ,Ativo,5886.82,2025-01-12
Gabrielly Campos,862.041.539-51,Estágio,Cancelado,18717.84,2022-06-15
Kaique Nogueira,350.827.946-47,Freelancer,Ativo,6015.36,2025-01-26
Srta. Rebeca Azevedo,463.981.527-19,Freelancer,Inadimplente,11808.51,2023-07-17
Ana Júlia da Rosa,527.843.196-28,Estágio,Ativo,9207.67,2022-08-30
Emilly da Cruz,419.752.063-80,Estágio,Cancelado,6982.58,2023-12-15
Sarah Nunes,253.194.078-23,Estágio,Cancelado,18690.62,2022-08-29
Paulo Souza,216.305.948-06,PJ,Inadimplente,5156.71,2025-05-17
Dr. Cauê Gomes,793.625.804-38,Estágio,Ativo,17192.25,2023-10-13
Ana Júlia Caldeira,091.728.345-79,Estágio,Ativo,6704.44,2023-07-15
Srta. Nina Barros,826.450.139-70,Estágio,Inadimplente,18311.89,2025-03-11
Nathan Barros,725.604.193-43,Estágio,Cancelado,19774.07,2024-05-30
Maria Julia Rodrigues,729.035.168-12,PJ,Cancelado,19314.08,2022-07-11
Amanda Costela,058.612.943-05,PJ,Inadimplente,19324.4,2023-09-09
Henrique Jesus,264.5,Freelancer,Ativo,17546.71,2023-01-20
Gabriela Pires,032.681.957-68,Estágio,Ativo,10756.05,2023-06-07
Bárbara Freitas,481.260.375-71,Estágio,Ativo,14587.65,2023-08-30
Agatha Nascimento,037.415.829-05,Estágio,Inadimplente,19414.16,2025-05-31
Daniel da Costa,268.041.397-04,CLT,Cancelado,15739.74,2022-09-02
Maria Fernanda Dias,405.678.932-00,Freelancer,Cancelado,12653.56,2025-05-09
Francisco Campos,763.140.925-07,Estágio,Inadimplente,2066.15,2025-03-03
Helena Sales,135.8,Freelancer,Inadimplente,17257.17,2022-08-26
Anthony Rocha,819.740.526-30,Estágio,Cancelado,12722.58,2025-01-07
Thales Araújo,903.487.261-04,Estágio,Inadimplente,1200.03,2023-09-23
Marcela Martins,490.681.523-51,CLT,Ativo,12807.64,2022-09-11
Nina Correia,910.237.568-03,Freelancer,Ativo,15061.94,2024-07-13
Sophie Campos,061.328.549-24,Estágio,Ativo,15327.21,2022-10-21
Gustavo Nunes,540.982.176-94,CLT,Cancelado,3744.11,2023-05-23
João Pedro Novaes,270.859.641-11,Freelancer,Ativo,1396.82,2024-05-01
Lavínia Cunha,231.408.769-04,CLT,Cancelado,7490.04,2025-02-25
Fernanda Aragão,592.836.017-77,Estágio,Ativo,5261.85,2022-08-04
Enzo Gabriel Moura,592.370.146-43,Estágio,Inadimplente,13795.11,2023-07-19
Sophia Pires,542.130.987-88,PJ,Ativo,3913.85,2024-11-10
André Correia,361.098.247-04,Estágio,Inadimplente,13821.12,2022-08-07
Dra. Catarina Peixoto,940.385.176-75,Estágio,Inadimplente,3290.8,2023-05-13
João Lucas Dias,724.859.013-41,Estágio,Inadimplente,5452.56,2024-02-21
Melissa Viana,276.495.013-61,Freelancer,Inadimplente,683.25,2024-12-10
Dr. Bernardo Vieira,349.587.216-73,Estágio,Cancelado,13713.41,2024-04-26
Brenda Lopes,792.546.813-00,PJ,Ativo,9113.73,2024-11-12
Sarah Barros,308.924.751-88,Freelancer,Inadimplente,6333.51,2022-09-07
Vitória Rodrigues,930.456.721-16,Estágio,Inadimplente,5376.92,2024-05-03
Dr. Emanuel Ramos,214.763.980-03,Freelancer,Ativo,19987.78,2024-01-13
Sophie Pires,836.917.025-03,Estágio,Ativo,5125.51,2023-05-22
